job_id	skill	gold	llm
3885110725	C#	required	preferred
3885110725	CI/CD	required	boilerplate
3885110725	Jira	boilerplate	required
3885110725	Python	required	preferred
3891283386	Excel	required	preferred
3891283386	Python	required	preferred
3891283386	SAS	required	preferred
3891283386	SQL	required	preferred
3891283386	Tableau	required	preferred
3898157950	Azure	required	preferred
3901905766	AWS	preferred	required
3901905766	Azure	preferred	required
3901905766	Databricks	preferred	required
3901905766	Excel	required	boilerplate
3901905766	Kafka	preferred	required
3901905766	SQL	required	boilerplate
3901905766	SQL Server	preferred	required
3901905766	Snowflake	preferred	required
3901942756	Angular	required	boilerplate
3902353556	Azure	required	boilerplate
3902355613	Bash	required	preferred
3902355613	Java	required	preferred
3902355613	Python	required	preferred
3902355613	SQL	required	preferred
3902355613	Spark	required	preferred
3903440960	C#	preferred	not_expected
3903875897	Linux	boilerplate	required
3904388530	Bash	preferred	required
3904572894	SQL	required	preferred
